record_type,ingredient_id,product_id,name_kr,name_en_or_brand,summary_text,benefit_text,caution_text,usage_reason_text,caution_group_text,combo_recommendation,product_summary_one_liner,product_composition_text,generated_at
ingredient,475,,베타인,Betaine,베타인은 피부와 모발에 수분을 공급하여 보습과 컨디셔닝 효과를 주는 성분입니다.,피부에 수분을 공급해 건조함을 개선해 주는 효과가 있습니다.,,이 제품은 피부 보습과 컨디셔닝을 목표로 하기 때문에 베타인을 포함하고 있습니다.,,,,,2026-08-25T11:43:45.291437
ingredient,773,,글루코노락톤,Gluconolactone,피부컨디셔닝제로 피부 탄력을 회복시키고 건조한 피부를 개선해 줍니다.,피부의 건강을 유지하고 매끄러운 외관을 도와줍니다.,,이 제품의 진정 효과를 보완하고 피부의 건강을 유지하기 위해 사용됩니다.,,,,,2026-08-25T11:44:04.201389
ingredient,1012,,글리세린,Glycerin,이 성분은 화장품에서 피부 보습 및 컨디셔닝 효과를 제공합니다. 특히 건성 피부에 효과적입니다.,글리세린은 피부에 수분을 흡수시켜 보습 효과를 제공합니다.,글리세린은 피부에 적용할 때 알레르기 반응을 일으킬 수 있으므로 사용 전 피부에 반응을 확인하는 것이 좋습니다.,이 성분은 화장품의 컨디셔닝 효과를 높이는 데 사용됩니다.,,아누아 어성초 77 B3 징크 트러블 세럼 30ml과 함께 사용하면 더욱 효과를 볼 수 있습니다.,,,2026-08-24T07:28:51.299101
ingredient,997,,세틸에틸헥사노에이트,Cetyl Ethylhexanoate,피부에 윤활제 역할을 해 피부를 부드럽고 매끄럽게 해줍니다.,피부를 부드럽게 해주어 사용 후 촉촉하고 매끄러운 느낌을 줍니다.,,이 제품의 보습과 유연 목적을 위해 피부에 윤활 효과를 주는 성분으로 사용되었습니다.,,,,,2026-08-25T11:47:15.235758
ingredient,1144,,소듐시트레이트,Sodium Citrate,소듐시트레이트는 제품의 pH를 조절하고 금속이온을 불활성화하여 화장품의 안정성을 높이는 역할을 합니다.,제품의 안정성과 사용감을 향상시켜 피부에 부드럽게 도달하게 해줍니다.,,이 제품의 pH 조절과 금속이온 제어를 위해 첨가되었습니다.,,,,,2026-08-25T11:43:30.703146
ingredient,1252,,소듐폴리아크릴레이트,Sodium Polyacrylate,"소듐폴리아크릴레이트는 피부에 피막을 형성하고, 액체의 점도를 조절하여 제품의 사용감을 개선하는 성분입니다.",피부에 윤활감을 주어 부드러운 느낌을 제공합니다.,,이 제품의 수분 보습 및 수분차단 기능을 보완하기 위해 사용되었습니다.,,,,,2026-08-25T11:45:24.468165
ingredient,1267,,소듐하이알루로네이트크로스폴리머,Sodium Hyaluronate Crosspolymer,피부를 부드럽게 하고 수분을 유지해 건조한 피부를 개선하는 성분입니다.,피부에 수분을 공급해 촉촉하고 건강한 느낌을 줍니다.,,이 제품의 보습과 탄력 개선 목적에 부합하는 성분입니다.,,,,,2026-08-25T01:24:03.667348
ingredient,1380,,수크로오스팔미테이트,Sucrose Palmitate,"피부를 부드럽게 하고 윤활감을 주는 계면활성제 및 피부컨디셔닝제로, 피부 표면을 매끄럽게 해줍니다.",피부에 윤활감을 주어 부드러운 느낌을 제공합니다.,,"이 제품의 미백 및 수분 관리 목적을 지원하며, 피부 표면을 매끄럽게 해주는 역할을 합니다.",,,,,2026-08-25T09:51:52.304152
ingredient,1290,,솔비탄올리에이트,Sorbitan Oleate,"솔비탄올리에이트는 유화제와 착향제로, 제품의 텍스처를 개선하고 향을 부여하는 역할을 합니다.","제품의 사용감을 향상시키고, 향을 통해 사용자에게 편안함을 제공합니다.",,이 성분은 제품의 유제 형성과 향을 부여하기 위해 배합되었습니다.,,,,,2026-08-25T11:45:35.060229
ingredient,1546,,실리카,Silica,"실리카는 화장품의 투명도를 낮추고, 고체 입자의 응집을 방지하는 역할을 합니다.","피부 결점을 가리고, 제품의 균일한 분배를 도와줍니다.",,이 제품은 피부의 수분 고민을 해결하기 위해 실리카를 포함하고 있습니다.,,,,,2026-08-25T11:45:10.747921
ingredient,1401,,스쿠알란,Squalane,"스쿠알란은 피부에 보호막을 형성해 수분 손실을 줄이고, 모발의 유연성과 광택을 개선하는 성분입니다.",피부와 모발의 건강을 유지하며 부드럽고 윤택한 느낌을 줍니다.,,이 제품은 피부의 수분을 보호하고 모발의 외형을 개선하기 위해 스쿠알란을 포함하고 있습니다.,,,,,2026-08-25T11:47:48.600956
ingredient,1738,,아시아틱애씨드,Asiatic Acid,아시아틱애씨드는 피부를 부드럽게 하고 탄력을 회복시켜 건조한 피부를 개선하는 성분입니다.,피부의 건조함을 개선해 매끄럽고 탄력 있는 피부를 유지할 수 있습니다.,,이 제품은 피부를 컨디셔닝하여 수분을 유지하고 미백 효과를 돕는 데 사용됩니다.,,,,,2026-08-25T11:41:59.890809
ingredient,1824,,알란토인,Allantoin,"피부를 일시적으로 보호하고, 건조한 피부를 개선하는 역할을 합니다.","피부의 건강을 유지하고, 외부 자극으로부터 보호해 줍니다.",,피부 진정과 컨디셔닝을 위해 이 제품에 포함되어 있습니다.,,,,,2026-08-25T11:44:18.783640
ingredient,1823,,알라닌,Alanine,알라닌은 향을 부여하고 피부와 모발을 컨디셔닝하는 역할을 합니다.,피부와 모발의 건강을 유지하고 외관을 개선해 줍니다.,,이 제품은 피부의 건조와 손상을 개선하기 위해 알라닌을 포함하고 있습니다.,,,,,2026-08-25T11:46:06.102236
ingredient,1944,,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,Ammonium Acryloyldimethyltaurate/VP Copolymer,이 성분은 화장품의 수성 부분의 점성을 증가시키는 역할을 합니다.,제품의 텍스처를 부드럽게 해 피부에 더 잘 발라지도록 도와줍니다.,,이 제품은 수분을 잡아주는 효과를 위해 이 성분을 포함하고 있습니다.,,,,,2026-08-25T09:51:03.508822
ingredient,1880,,알지닌,Arginine,알지닌은 향을 부여하고 피부와 모발을 부드럽게 하는 역할을 합니다.,피부와 모발의 탄력과 유연성을 높여 건강한 외관을 유지할 수 있어요.,,이 제품은 피부를 부드럽게 하고 탄력을 회복시켜 모공 관리에 도움을 줄 수 있도록 배합되었습니다.,,,,,2026-08-25T09:51:08.394277
ingredient,1928,,나이아신,Niacin,"벗겨짐을 줄이고 탄력을 회복시켜 건조하고 손상된 피부의 외관을 개선시키는 성분. 모발에 특별한 효과를 부여하는 성분으로 모발의 외형과 느낌 개선, 유연성 증대, 스타일 증진, 윤택 및 광택 부여, 모발의 질감 개선 등을 목적으로 함.",,,,,,,,2026-08-25T10:55:07.430328
ingredient,2083,,에틸헥실팔미테이트,Ethylhexyl Palmitate,에틸헥실팔미테이트는 향을 부여하고 피부를 부드럽게 하는 성분입니다.,피부에 윤활감을 주어 매끄러운 느낌을 제공합니다.,,제품의 향을 향상시키고 피부의 윤활감을 높이기 위해 사용되었습니다.,,,,,2026-08-25T11:44:56.673704
ingredient,2582,,잇꽃씨오일,Carthamus Tinctorius (Safflower) Seed Oil,"잇꽃씨오일은 피부에 향을 더하고, 피부 표면에 보호막을 형성하여 수분 손실을 줄이는 역할을 합니다.","피부에 부드러운 향을 제공하며, 수분을 오래 유지해 주는 효과가 있습니다.",,"이 제품은 피부에 향을 더하고, 수분 손실을 줄이기 위해 이 성분을 포함하고 있습니다.",,,,,2026-08-25T11:42:59.945325
ingredient,2526,,아이소프로필미리스테이트,Isopropyl Myristate,"아이소프로필미리스테이트는 피부를 부드럽게 하고 윤활제 역할을 하며, 제품의 향을 부여하는 성분입니다.",피부를 부드럽게 해주어 사용 후 매끄럽고 윤기 있는 피부를 경험할 수 있습니다.,,이 제품은 피부를 부드럽게 하고 윤활제 역할을 하기 위해 이 성분을 포함하고 있습니다.,,,,,2026-08-25T11:47:10.703646
ingredient,2706,,녹차씨오일,Camellia Sinensis Seed Oil,피부에 수분을 공급하고 수분 손실을 줄여주는 보습 효과가 있어요.,피부에 수분을 공급해 건강한 피부를 유지할 수 있어요.,,피부에 수분을 공급하고 수분 손실을 줄이기 위해 제품에 포함되어 있어요.,,,,,2026-08-25T11:41:45.462054
ingredient,2765,,징크피씨에이,Zinc PCA,징크피씨에이는 피부를 컨디셔닝해 건조와 손상에 대응하는 성분입니다.,피부의 탄력과 외관을 개선해 건강한 피부를 유지할 수 있어요.,한도 내에서 사용해 주세요.,이 제품은 피부 진정을 위해 피부 컨디셔닝을 돕는 역할을 해요.,,,,,2026-08-25T11:43:35.373106
ingredient,2876,,카카오추출물,Theobroma Cacao (Cocoa) Extract,피부를 부드럽게 하고 탄력을 회복시켜 건조한 피부를 개선하는 성분입니다.,피부의 건조함을 줄여 매끄럽고 탄력 있는 피부를 유지할 수 있어요.,,이 제품은 피부를 부드럽게 하고 탄력을 회복시키기 위해 배합되었습니다.,,,,,2026-08-25T11:41:32.662942
ingredient,2821,,멕시칸치아씨오일,Salvia Hispanica Seed Oil,멕시칸치아씨오일은 피부 표면에 장벽을 형성하여 수분 손실을 늦추는 역할을 합니다.,피부에 수분을 오래 유지해 건강한 피부를 지켜줍니다.,,이 제품은 수분 보충과 피부 컨디셔닝을 위해 포함되었습니다.,,,,,2026-08-25T11:43:04.169110
ingredient,2889,,카프릴로일살리실릭애씨드,Capryloyl Salicylic Acid,피부컨디셔닝제로 피부의 탄력을 회복시키고 건조함을 개선해 줍니다.,피부의 건조함을 줄여 매끄럽고 윤기 있는 피부를 유지할 수 있어요.,,이 제품의 진정 효과를 보완하며 피부의 건강을 유지하기 위해 사용했어요.,,,,,2026-08-25T11:44:28.226682
ingredient,3204,,타이로신,Tyrosine,타이로신은 향을 부여하고 피부와 모발의 건강을 개선하는 성분입니다.,피부와 모발의 탄력과 외관을 개선해 건강한 피부를 유지할 수 있어요.,,이 제품은 피부와 모발의 건강을 개선하기 위해 타이로신을 포함하고 있어요.,,,,,2026-08-25T11:46:15.399108
ingredient,3260,,토코페롤,Tocopherol,토코페롤은 피부를 보호하고 수분 손실을 줄이는 역할을 합니다.,"피부 건강을 유지하고, 수분을 오래 유지할 수 있도록 도와줍니다.",한도 내에서 사용하는 것이 좋습니다.,이 제품은 피부 진정과 보습을 목표로 하기 때문에 토코페롤이 포함되어 있습니다.,,,,,2026-08-25T11:44:14.665409
ingredient,3500,,판테놀,Panthenol,"이 성분은 피부에 수분을 흡수시켜 건조 피부를 보습하고, 촉촉함을 유지하는 데 도움을 줍니다.","이 성분은 피부에 촉촉함을 유지하고, 건조 피부를 보습하는 데 도움을 줍니다.",,"이 성분은 피부에 촉촉함을 유지하고, 건조 피부를 보습하는 데 도움을 줍니다.",,"이 성분은 피부에 촉촉함을 유지하고, 건조 피부를 보습하는 데 도움을 줍니다.",,,2026-08-24T07:27:30.515709
ingredient,3667,,"1,10-데칸다이올","1,10-Decanediol",이 성분은 피부 탄력을 높여주고 건조한 피부를 보습시켜주는 데 도움을 주는 성분입니다.,이 성분은 피부 탄력을 높여주고 건조한 피부를 보습시켜줍니다.,,이 성분은 피부 컨디셔닝제로 사용됩니다.,,"1,10-데칸다이올과 함께 사용하면 피부 탄력을 더욱 높일 수 있습니다.",,,2026-08-24T07:26:19.759754
ingredient,3621,,포도씨오일,Vitis Vinifera (Grape) Seed Oil,피부를 컨디셔닝해 건조와 손상에 대응하는 성분입니다.,피부 탄력과 외관을 개선해 주는 효과가 있습니다.,,이 제품의 미백과 수분 관리 목적에 부합하는 성분입니다.,,,,,2026-08-25T09:52:29.328733
ingredient,3608,,편백잎추출물,Chamaecyparis Obtusa Leaf Extract,피부컨디셔닝제로 피부 탄력을 회복시키고 건조함을 개선해 줍니다.,피부의 건조함을 줄여 매끄럽고 탄력 있는 피부를 유지할 수 있어요.,,이 제품의 미백 및 수분 관리 목적에 부합하는 성분이에요.,,,,,2026-08-25T11:41:36.869019
ingredient,3721,,폴리글리세릴-3다이아이소스테아레이트,Polyglyceryl-3 Diisostearate,피부 표면에 윤활제로 작용하여 피부가 부드럽고 매끄러워 보이도록 도와주는 성분입니다.,피부를 부드럽게 해주어 사용 후 촉촉하고 매끄러운 느낌을 줍니다.,,이 제품은 피부를 부드럽게 하고 윤활감을 제공하기 위해 이 성분을 포함하고 있습니다.,,,,,2026-08-25T11:47:28.858843
ingredient,3759,,폴리글리세릴-10올리에이트,Polyglyceryl-10 Oleate,피부에 윤활제로 작용하여 부드럽고 매끄러운 느낌을 제공하는 성분입니다.,피부에 윤활 효과를 주어 매끄럽고 부드러운 느낌을 줍니다.,,이 제품은 피부를 부드럽게 하기 위해 이 성분을 포함하고 있습니다.,,,,,2026-08-25T11:43:21.036419
ingredient,3727,,폴리글리세릴-2다이폴리하이드록시스테아레이트,Polyglyceryl-2 Dipolyhydroxystearate,피부 표면에 장벽을 형성하여 수분 손실을 늦추는 성분입니다.,피부의 수분을 오래 유지해 건강한 피부를 지켜줍니다.,,이 제품의 수분차단 및 보습 효과를 높이기 위해 사용되었습니다.,,,,,2026-08-25T11:47:19.511805
ingredient,3956,,프로폴리스추출물,Propolis Extract,피부컨디셔닝제로 피부 탄력을 회복시키고 건조한 피부를 개선해 줍니다.,피부의 건강을 유지하고 외관을 개선하는 데 도움을 줍니다.,,"이 제품의 수분 보습 목적에 부합하며, 피부 건강을 유지하는 데 기여합니다.",,,,,2026-08-25T11:45:39.384903
ingredient,4670,,하이드록시프로필트라이모늄하이알루로네이트,Hydroxypropyltrimonium Hyaluronate,"하이드록시프로필트라이모늄하이알루로네이트는 피부에 수분을 유지시키고, 피막을 형성해 보호 효과를 줍니다.",피부에 수분을 오래 유지시켜 건강한 피부를 유지할 수 있습니다.,,이 제품은 수분 보충과 피부 보호를 위해 이 성분을 포함하고 있습니다.,,,,,2026-08-25T01:23:51.019515
ingredient,4776,,하이드롤라이즈드호호바에스터,Hydrolyzed Jojoba Esters,"하이드롤라이즈드호호바에스터는 피부에 보호막을 형성하고, 모발의 수분 손실을 줄이는 역할을 합니다.",피부와 모발에 보호막을 형성해 수분 손실을 줄여 건강한 피부를 유지할 수 있습니다.,,"이 제품은 피부에 보호막을 형성하고, 모발의 수분 손실을 줄이는 데 사용됩니다.",,,,,2026-08-25T09:50:59.258253
ingredient,4840,,"1,2-헥산다이올","1,2-Hexanediol","1,2-헥산다이올은 용제로, 제품의 성분을 균일하게 혼합하여 사용성을 높이는 역할을 합니다.",제품의 성분이 균일하게 혼합되어 피부에 더 효과적으로 도달할 수 있습니다.,,"이 제품은 피부에 수분과 진정 효과를 주기 위해 다양한 성분을 균일하게 혼합하기 위해 1,2-헥산다이올을 사용합니다.",,,,,2026-08-25T09:49:50.906763
ingredient,4815,,향료,"Flavor,Fragrance,perfume,Parfum,Aroma",향료로 제품에 향을 부여하는 역할을 합니다.,사용자에게 향을 제공해 제품 사용 경험을 향상시킵니다.,,제품에 향을 부여하기 위해 사용되었습니다.,민감성 피부는 주의가 필요해요,,,,2026-08-25T09:51:12.335824
ingredient,4787,,한련초추출물,Eclipta Prostrata Extract,한련초추출물은 피부를 부드럽게 하고 탄력을 되찾는 데 도움을 줍니다.,피부의 건조함을 개선해 매끄럽고 건강한 피부를 유지할 수 있어요.,,이 제품은 피부를 컨디셔닝하여 건조한 피부를 개선하기 위해 사용되었습니다.,,,,,2026-08-25T09:52:01.157929
ingredient,4907,,홀리바질잎추출물,Ocimum Sanctum Leaf Extract,피부를 부드럽게 하고 탄력을 되찾아 건조한 피부를 개선해 줍니다.,피부의 건강을 유지하고 매끄러운 외관을 도와줍니다.,,이 제품의 미백 및 수분 관리 효과를 보완하기 위해 사용되었습니다.,,,,,2026-08-25T11:42:50.454439
ingredient,4803,,해바라기씨오일,Helianthus Annuus (Sunflower) Seed Oil,해바라기씨오일은 피부를 부드럽게 하고 수분을 유지하는 데 도움을 줍니다.,피부의 건조함을 개선해 매끄럽고 탄력 있는 피부를 유지할 수 있습니다.,,이 제품은 피부를 보호하고 수분 손실을 줄이기 위해 포함되었습니다.,,,,,2026-08-25T11:47:38.741913
ingredient,4923,,다이메틸실란올하이알루로네이트,Dimethylsilanol Hyaluronate,피부를 부드럽게 하고 탄력을 되찾아 건조한 피부를 개선하는 성분입니다.,피부의 탄력과 부드러움을 높여 건강한 피부를 유지할 수 있어요.,,이 제품은 피부를 컨디셔닝하여 외관을 개선하는 데 사용되었어요.,,,,,2026-08-25T11:42:23.318486
ingredient,5215,,다이포타슘글리시리제이트,Dipotassium Glycyrrhizate,"다이포타슘글리시리제이트는 피부를 부드럽게 하고, 제품의 향을 향상시키는 역할을 합니다.",피부를 부드럽게 해주어 사용감을 개선해 줍니다.,,이 제품은 피부를 컨디셔닝하여 건조함을 개선하기 위해 사용되었습니다.,,,,,2026-08-25T11:43:54.713292
ingredient,5617,,알파-알부틴,Alpha-Arbutin,알파-알부틴은 피부를 보호하고 컨디셔닝하는 역할을 합니다.,피부의 건강을 유지하고 매끄러운 외관을 제공합니다.,,이 제품의 미백과 수분 관리 목적을 지원하기 위해 사용되었습니다.,,,,,2026-08-25T09:51:47.379033
ingredient,5648,,아이비고드열매추출물,Coccinia Indica Fruit Extract,아이비고드열매추출물은 피부를 컨디셔닝해 건조와 손상에 대응하는 성분입니다.,피부의 탄력을 회복시켜 매끄럽고 건강해 보이는 효과가 있습니다.,,이 제품의 미백과 수분 관리 목적에 부합하는 성분으로 사용되었습니다.,,,,,2026-08-25T09:51:56.708306
ingredient,7162,,복숭아수,Prunus Persica (Peach) Fruit Water,제품에 향을 부여하는 성분.,복숭아에서 얻은 수분으로 가볍게 진정과 보습 효과를 줍니다.,특별한 주의사항이 없는 성분입니다.,,,,,,2026-08-20T16:26:03.039613
ingredient,8324,,세라마이드이오피,Ceramide EOP,세라마이드이오피는 피부와 모발을 보호하고 건강하게 유지하는 데 도움을 줍니다.,피부와 모발의 탄력과 유연성을 높여 건강한 외관을 유지할 수 있어요.,,이 제품은 피부를 보호하고 수분을 유지하는 데 기여하기 위해 포함되어 있어요.,,,,,2026-08-25T11:48:07.068878
ingredient,12220,,"1-하이드록시에틸4,5-다이아미노피라졸설페이트","1-Hydroxyethyl 4,5-Diamino Pyrazole Sulfate","모발의 색을 바꾸어 주는 성분. 염모제가 모발에 영향을 주는 시간에 따라서 영구적, 준영구적, 일시적일 수 있다.",,,,,,,,2026-08-20T13:54:37.385043
ingredient,15586,,약모밀꽃/잎/줄기수,Houttuynia Cordata Flower/Leaf/Stem Water,"약모밀꽃/잎/줄기수는 화장품에서 산화방지 효과를 제공하며, 피부 컨디셔닝 효과를 제공합니다.",이 성분은 피부에 탄력을 회복시켜 건조하고 손상된 피부의 외관을 개선하는 효과를 제공합니다.,,"이 성분은 피부에 산화방지 효과를 제공하며, 컨디셔닝 효과를 제공합니다.",,약모밀꽃/잎/줄기수는 피부에 탄력을 회복시켜 건조하고 손상된 피부의 외관을 개선하는 효과를 제공하는 성분입니다. 이 성분은 다른 성분과 시너지 효과를 발휘할 수 있습니다.,,,2026-08-24T07:23:51.782174
ingredient,18575,,"2,6-디아미노피리딘","2,6-Diaminopyridine",이 성분은 모발 색을 바꾸는 염모제 역할을 합니다.,,,,,,,,2026-08-20T13:54:29.283092
ingredient,5,,류신,Leucine,"류신은 피부와 모발을 관리하는 성분으로, 피부의 탄력과 건강을 개선하며 모발의 외관과 유연성을 향상시킵니다.","피부와 모발의 건강을 유지하고, 매끄럽고 윤택한 느낌을 줍니다.",,이 제품은 피부의 건조와 손상을 개선하기 위해 류신을 포함하고 있습니다.,,,,,2026-08-25T01:21:37.361214
ingredient,6,,류코노스톡/무발효여과물,Leuconostoc/Radish Root Ferment Filtrate,류코노스톡/무발효여과물은 피부와 모발을 부드럽게 하고 탄력을 회복시키는 성분입니다.,피부와 모발의 건강을 개선해 매끄럽고 윤택한 느낌을 줍니다.,,"이 제품의 모공 관리 목적에 부합하며, 피부의 건조와 손상을 개선하기 위해 사용되었습니다.",,,,,2026-08-25T01:21:41.769287
ingredient,22003,,약모밀소포,,약모밀소포는 피부를 부드럽게 하고 탄력을 회복시켜 건조한 피부를 개선하는 성분입니다.,피부의 건조함을 줄여 매끄럽고 윤기 있는 피부를 유지할 수 있어요.,,이 제품은 진정 효과를 위해 피부를 부드럽게 하고 탄력을 회복시키는 데 사용되었어요.,,,,,2026-08-25T11:44:42.195896
ingredient,11,,리놀레닉애씨드,Linolenic Acid,"리놀레닉애씨드는 피부와 모발을 깨끗하게 하고, 탄력을 회복시켜 건조한 피부를 개선하는 성분입니다.","피부를 부드럽게 하고, 모발의 탄력을 높여 건강한 피부와 모발을 유지할 수 있습니다.",,이 제품은 피부 보습과 컨디셔닝을 목적으로 하기 때문에 리놀레닉애씨드가 포함되어 있습니다.,,,,,2026-08-25T01:21:46.704267
ingredient,20,,리모넨,Limonene,"리모넨은 용제 및 착향제 역할을 하며, 제품의 향을 부여하고 성분들의 균일한 분산을 돕습니다.",제품의 향을 자연스럽게 더해 사용자에게 편안한 사용감을 제공합니다.,,제품의 향을 부여하고 성분들의 균일한 분산을 돕기 위해 사용되었습니다.,,,,,2026-08-25T01:21:55.552858
ingredient,5611,,하이드롤라이즈드하이알루로닉애씨드,Hydrolyzed Hyaluronic Acid,하이드롤라이즈드하이알루로닉애씨드는 피부와 모발의 수분 함량을 높이는 데 도움을 줍니다.,피부와 모발에 수분을 공급해 건강하고 윤기 있는 상태를 유지할 수 있습니다.,,이 제품은 피부의 수분을 유지하고 탄력을 높이기 위해 포함되었습니다.,,,,,2026-08-25T01:22:56.848776
ingredient,1938,,나이아신아마이드,Niacinamide,나이아신아마이드는 피부와 모발을 건강하게 관리하는 데 도움을 주는 성분입니다. 피부 탄력 회복과 모발의 유연성 증대에 효과적입니다.,"피부와 모발의 건강을 개선해, 윤택하고 부드러운 느낌을 줍니다.",,이 제품은 피부의 탄력과 건강을 개선하기 위해 포함되었습니다.,,트라넥사믹애씨드와 함께 사용하면 미백 효과를 더욱 높일 수 있어요. 아세틸글루코사민과 함께 사용하면 미백 효과가 더 좋아질 수 있다고 임상적으로 확인되었습니다.,,,2026-08-25T01:23:05.599581
ingredient,4759,,하이드롤라이즈드콜라겐,Hydrolyzed Collagen,"하이드롤라이즈드콜라겐은 피부와 모발의 건강을 개선하는 성분으로, 피부 탄력 회복과 모발 유연성 증대에 도움을 줍니다.","피부와 모발의 건강을 유지하고, 윤택한 외관을 만들어 줍니다.",,이 제품은 피부 탄력과 모발 건강을 개선하기 위해 하이드롤라이즈드콜라겐을 포함하고 있습니다.,,,,,2026-08-25T01:23:12.705382
ingredient,1264,,소듐하이알루로네이트,Sodium Hyaluronate,"피부를 보습하고 탄력을 회복시키는 성분으로, 건조한 피부를 개선해 줍니다.",피부에 수분을 공급해 건강하고 윤기 있는 피부를 유지할 수 있습니다.,,이 제품은 수분 고민을 해결하기 위해 이 성분을 포함하고 있습니다.,,,,,2026-08-25T01:23:18.748610
ingredient,1612,,아데노신,Adenosine,"아데노신은 피부를 부드럽게 하고 탄력을 회복시키는 성분으로, 건조한 피부를 개선하는 데 도움을 줍니다.","피부의 건강을 유지하고, 매끄러운 외관을 유지하는 데 도움을 줍니다.",,이 제품에서는 주름 개선과 피부 컨디셔닝을 위해 사용되었습니다.,,,,,2026-08-25T01:23:25.359627
ingredient,1047,,소듐디엔에이,Sodium DNA,피부를 컨디셔닝하여 건조와 손상에 대응하는 성분입니다.,피부의 탄력을 회복시켜 매끄럽고 건강한 외관을 도와줍니다.,,이 제품의 보습과 탄력 개선 목적에 부합하는 성분으로 사용되었습니다.,,,,,2026-08-25T01:23:31.431742
ingredient,4785,,하이알루로닉애씨드,Hyaluronic Acid,하이알루로닉애씨드는 피부를 부드럽게 하고 탄력을 높이는 성분입니다.,피부에 수분을 공급해 건조함을 개선해 줍니다.,,피부를 컨디셔닝하고 탄력을 회복시키기 위해 사용됩니다.,,,,,2026-08-25T01:23:37.438211
ingredient,7454,,하이드롤라이즈드소듐하이알루로네이트,Hydrolyzed Sodium Hyaluronate,"피부를 컨디셔닝하여 탄력을 회복시키는 성분으로, 건조하고 손상된 피부의 외관을 개선합니다.","피부를 부드럽게 하고, 탄력을 높여 건강한 피부를 유지할 수 있습니다.",,"이 제품은 피부의 수분을 보충하고, 탄력을 회복시키기 위해 사용됩니다.",,,,,2026-08-25T01:23:44.421579
ingredient,3679,,포타슘하이알루로네이트,Potassium Hyaluronate,포타슘하이알루로네이트는 피부를 부드럽게 하고 탄력을 되찾는 성분입니다.,피부의 건조함을 개선해 매끄럽고 윤기 있는 피부를 도와줍니다.,,이 제품은 피부를 컨디셔닝하여 수분을 유지하는 데 도움을 줍니다.,,,,,2026-08-25T01:23:57.661042
